Team1,Team2,Winner,Margin,Ground,Date,Scorecard
Zimbabwe,Namibia,Namibia,6 wickets,Bulawayo,"May 22, 2022",T20I # 1546
Guernsey,Jersey,Jersey,37 runs,Castel,"May 21, 2022",T20I # 1545
Zimbabwe,Namibia,Zimbabwe,8 wickets,Bulawayo,"May 21, 2022",T20I # 1544
Guernsey,Jersey,Jersey,60 runs,Castel,"May 21, 2022",T20I # 1543
Guernsey,Jersey,Jersey,37 runs,St Peter Port,"May 20, 2022",T20I # 1542
Zimbabwe,Namibia,Namibia,8 wickets,Bulawayo,"May 19, 2022",T20I # 1541
Zimbabwe,Namibia,Zimbabwe,7 runs,Bulawayo,"May 17, 2022",T20I # 1540
Malta,Romania,Romania,9 runs,Marsa,"May 15, 2022",T20I # 1539
Czech Rep.,Hungary,Czech Rep.,70 runs,Marsa,"May 15, 2022",T20I # 1538
Bulgaria,Gibraltar,Bulgaria,5 wickets,Marsa,"May 15, 2022",T20I # 1537
Malta,Bulgaria,Malta,6 wickets,Marsa,"May 14, 2022",T20I # 1536
Gibraltar,Romania,Romania,8 wickets,Marsa,"May 14, 2022",T20I # 1535
Czech Rep.,Hungary,Czech Rep.,7 wickets,Marsa,"May 14, 2022",T20I # 1534
Bulgaria,Romania,Romania,8 wickets,Marsa,"May 13, 2022",T20I # 1533
Czech Rep.,Romania,Romania,26 runs,Marsa,"May 13, 2022",T20I # 1532
Bulgaria,Gibraltar,Gibraltar,21 runs,Marsa,"May 13, 2022",T20I # 1531
Hungary,Romania,Hungary,6 wickets,Marsa,"May 12, 2022",T20I # 1530
Bulgaria,Czech Rep.,Czech Rep.,88 runs,Marsa,"May 12, 2022",T20I # 1529
Malta,Czech Rep.,Malta,2 runs,Marsa,"May 12, 2022",T20I # 1528
Bulgaria,Hungary,Hungary,5 runs,Marsa,"May 11, 2022",T20I # 1527
Czech Rep.,Gibraltar,Czech Rep.,40 runs,Marsa,"May 11, 2022",T20I # 1526
Malta,Romania,Malta,5 wickets,Marsa,"May 11, 2022",T20I # 1525
Gibraltar,Hungary,Hungary,4 wickets,Marsa,"May 10, 2022",T20I # 1524
Malta,Hungary,Malta,45 runs,Marsa,"May 10, 2022",T20I # 1523
Malta,Gibraltar,Malta,5 wickets,Marsa,"May 10, 2022",T20I # 1522
Denmark,Finland,Denmark,53 runs,Brondby,"May 8, 2022",T20I # 1521
Denmark,Finland,Denmark,137 runs,Brondby,"May 7, 2022",T20I # 1520
Denmark,Finland,Finland,3 wickets,Brondby,"May 7, 2022",T20I # 1519
Spain,Norway,Spain,41 runs,Almeria,"May 1, 2022",T20I # 1518
Spain,Guernsey,Guernsey,8 wickets,Almeria,"May 1, 2022",T20I # 1517
Spain,Guernsey,Spain,8 wickets,Almeria,"Apr 30, 2022",T20I # 1516
Guernsey,Norway,Guernsey,8 wickets,Almeria,"Apr 30, 2022",T20I # 1515
Spain,Norway,Spain,51 runs,Almeria,"Apr 30, 2022",T20I # 1514
Guernsey,Norway,Norway,37 runs,Almeria,"Apr 29, 2022",T20I # 1513
Cayman Is,Bahamas,Cayman Is,42 runs,George Town,"Apr 17, 2022",T20I # 1512
Cayman Is,Bahamas,Cayman Is,65 runs,George Town,"Apr 16, 2022",T20I # 1511
Cayman Is,Bahamas,Cayman Is,7 wickets,George Town,"Apr 16, 2022",T20I # 1510
Cayman Is,Bahamas,Cayman Is,15 runs,George Town,"Apr 14, 2022",T20I # 1509
Cayman Is,Bahamas,Cayman Is,8 wickets,George Town,"Apr 13, 2022",T20I # 1508
Namibia,Uganda,Namibia,52 runs,Windhoek,"Apr 10, 2022",T20I # 1507
Namibia,Uganda,Uganda,7 wickets,Windhoek,"Apr 9, 2022",T20I # 1506
Namibia,Uganda,Namibia,8 wickets,Windhoek,"Apr 8, 2022",T20I # 1505
Pakistan,Australia,Australia,3 wickets,Lahore,"Apr 5, 2022",T20I # 1504
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,"Apr 4, 2022",T20I # 1503
Nepal,Malaysia,Nepal,85 runs,Kirtipur,"Apr 2, 2022",T20I # 1502
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,"Apr 1, 2022",T20I # 1501
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,"Mar 31, 2022",T20I # 1500
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Mar 30, 2022",T20I # 1499
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,"Mar 29, 2022",T20I # 1498
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,"Mar 28, 2022",T20I # 1497
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,"Mar 5, 2022",T20I # 1496
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,"Mar 3, 2022",T20I # 1495
India,Sri Lanka,India,6 wickets,Dharamsala,"Feb 27, 2022",T20I # 1494
India,Sri Lanka,India,7 wickets,Dharamsala,"Feb 26, 2022",T20I # 1493
India,Sri Lanka,India,62 runs,Lucknow,"Feb 24, 2022",T20I # 1492
Ireland,U.A.E.,U.A.E.,7 wickets,Al Amerat,"Feb 24, 2022",T20I # 1490
Oman,Nepal,Nepal,9 wickets,Al Amerat,"Feb 24, 2022",T20I # 1491
Bahrain,Canada,Canada,7 wickets,Al Amerat,"Feb 24, 2022",T20I # 1488
Germany,Philippines,Germany,9 wickets,Al Amerat,"Feb 24, 2022",T20I # 1489
Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,"Feb 22, 2022",T20I # 1486
Oman,Ireland,Ireland,56 runs,Al Amerat,"Feb 22, 2022",T20I # 1487
Bahrain,Philippines,Bahrain,91 runs,Al Amerat,"Feb 22, 2022",T20I # 1484
Canada,Germany,Canada,6 wickets,Al Amerat,"Feb 22, 2022",T20I # 1485
Canada,Nepal,Nepal,8 wickets,Al Amerat,"Feb 21, 2022",T20I # 1482
Oman,Philippines,Oman,9 wickets,Al Amerat,"Feb 21, 2022",T20I # 1483
Bahrain,U.A.E.,Bahrain,2 runs,Al Amerat,"Feb 21, 2022",T20I # 1480
Germany,Ireland,Ireland,7 wickets,Al Amerat,"Feb 21, 2022",T20I # 1481
India,West Indies,India,17 runs,Eden Gardens,"Feb 20, 2022",T20I # 1479
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,"Feb 20, 2022",T20I # 1478
Bahrain,Ireland,Ireland,21 runs,Al Amerat,"Feb 19, 2022",T20I # 1476
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,"Feb 19, 2022",T20I # 1477
Nepal,Philippines,Nepal,136 runs,Al Amerat,"Feb 19, 2022",T20I # 1474
Oman,Canada,Oman,9 wickets,Al Amerat,"Feb 19, 2022",T20I # 1475
India,West Indies,India,8 runs,Eden Gardens,"Feb 18, 2022",T20I # 1473
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,"Feb 18, 2022",T20I # 1471
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,"Feb 18, 2022",T20I # 1472
Australia,Sri Lanka,Australia,6 wickets,Melbourne,"Feb 18, 2022",T20I # 1470
Canada,Philippines,Canada,118 runs,Al Amerat,"Feb 18, 2022",T20I # 1468
Oman,Nepal,Nepal,39 runs,Al Amerat,"Feb 18, 2022",T20I # 1469
India,West Indies,India,6 wickets,Eden Gardens,"Feb 16, 2022",T20I # 1467
Australia,Sri Lanka,Australia,6 wickets,Canberra,"Feb 15, 2022",T20I # 1466
Ireland,Nepal,Ireland,16 runs,Al Amerat,"Feb 14, 2022",T20I # 1465
Oman,U.A.E.,Oman,7 wickets,Al Amerat,"Feb 14, 2022",T20I # 1464
Australia,Sri Lanka,tied,-,Sydney,"Feb 13, 2022",T20I # 1463
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,"Feb 13, 2022",T20I # 1462
Oman,Ireland,Ireland,9 wickets,Al Amerat,"Feb 12, 2022",T20I # 1461
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,"Feb 12, 2022",T20I # 1460
Oman,Nepal,Nepal,6 wickets,Al Amerat,"Feb 11, 2022",T20I # 1459
Australia,Sri Lanka,Australia,20 runs,Sydney,"Feb 11, 2022",T20I # 1458
West Indies,England,West Indies,17 runs,Bridgetown,"Jan 30, 2022",T20I # 1457
West Indies,England,England,34 runs,Bridgetown,"Jan 29, 2022",T20I # 1456
West Indies,England,West Indies,20 runs,Bridgetown,"Jan 26, 2022",T20I # 1455
West Indies,England,England,1 run,Bridgetown,"Jan 23, 2022",T20I # 1454
West Indies,England,West Indies,9 wickets,Bridgetown,"Jan 22, 2022",T20I # 1453
U.A.E.,Afghanistan,U.A.E.,11 runs,Sharjah,"Dec 31, 2023",T20I # 2426
New Zealand,Bangladesh,New Zealand,17 runs,Mount Maunganui,"Dec 31, 2023",T20I # 2425
U.A.E.,Afghanistan,Afghanistan,72 runs,Sharjah,"Dec 29, 2023",T20I # 2424
New Zealand,Bangladesh,no result,-,Mount Maunganui,"Dec 29, 2023",T20I # 2423
New Zealand,Bangladesh,Bangladesh,5 wickets,Napier,"Dec 27, 2023",T20I # 2422
Indonesia,Philippines,Philippines,7 wickets,Bali,"Dec 26, 2023",T20I # 2421
Indonesia,Philippines,tied,-,Bali,"Dec 24, 2023",T20I # 2420
Indonesia,Philippines,Philippines,8 wickets,Bali,"Dec 24, 2023",T20I # 2419
Indonesia,Philippines,Indonesia,20 runs,Bali,"Dec 23, 2023",T20I # 2418
Indonesia,Philippines,Indonesia,10 wickets,Bali,"Dec 23, 2023",T20I # 2417
Indonesia,Philippines,Philippines,2 runs,Bali,"Dec 22, 2023",T20I # 2416
West Indies,England,West Indies,4 wickets,Tarouba,"Dec 21, 2023",T20I # 2415
West Indies,England,England,75 runs,Tarouba,"Dec 19, 2023",T20I # 2414
Kenya,Uganda,Uganda,91 runs,Benoni,"Dec 19, 2023",T20I # 2413
Botswana,Malawi,Botswana,3 wickets,Benoni,"Dec 19, 2023",T20I # 2412
Kenya,Malawi,Kenya,4 runs,Benoni,"Dec 18, 2023",T20I # 2411
Botswana,Uganda,Uganda,10 wickets,Benoni,"Dec 18, 2023",T20I # 2410
Ghana,Sierra Leone,Ghana,2 wickets,Benoni,"Dec 17, 2023",T20I # 2409
Mozambique,Rwanda,Mozambique,5 wickets,Benoni,"Dec 17, 2023",T20I # 2408
West Indies,England,England,7 wickets,St George's,"Dec 16, 2023",T20I # 2407
Botswana,Kenya,Kenya,40 runs,Benoni,"Dec 16, 2023",T20I # 2406
Malawi,Rwanda,Malawi,46 runs,Benoni,"Dec 16, 2023",T20I # 2405
Mozambique,Uganda,Uganda,51 runs,Benoni,"Dec 15, 2023",T20I # 2404
Botswana,Sierra Leone,Sierra Leone,2 wickets,Benoni,"Dec 15, 2023",T20I # 2403
West Indies,England,West Indies,10 runs,St George's,"Dec 14, 2023",T20I # 2402
South Africa,India,India,106 runs,Johannesburg,"Dec 14, 2023",T20I # 2401
Malawi,Mozambique,Malawi,6 wickets,Benoni,"Dec 14, 2023",T20I # 2400
Ghana,Kenya,Kenya,8 wickets,Benoni,"Dec 13, 2023",T20I # 2399
Malawi,Uganda,Uganda,7 wickets,Benoni,"Dec 13, 2023",T20I # 2398
West Indies,England,West Indies,4 wickets,Bridgetown,"Dec 12, 2023",T20I # 2397
South Africa,India,South Africa,5 wickets,Gqeberha,"Dec 12, 2023",T20I # 2396
Kenya,Sierra Leone,Kenya,8 wickets,Benoni,"Dec 12, 2023",T20I # 2395
Botswana,Ghana,Botswana,38 runs,Benoni,"Dec 11, 2023",T20I # 2394
Rwanda,Uganda,Rwanda,2 runs,Benoni,"Dec 11, 2023",T20I # 2393
Cameroon,Sierra Leone,Sierra Leone,9 wickets,Benoni,"Dec 10, 2023",T20I # 2392
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Dec 10, 2023",T20I # 2391
Gambia,Ghana,Ghana,98 runs,Benoni,"Dec 10, 2023",T20I # 2390
Mali,Sierra Leone,Sierra Leone,8 wickets,Benoni,"Dec 9, 2023",T20I # 2389
Zimbabwe,Ireland,Ireland,4 wickets,Harare,"Dec 9, 2023",T20I # 2388
Ghana,Rwanda,Rwanda,3 wickets,Benoni,"Dec 9, 2023",T20I # 2387
Kenya,Mali,Kenya,10 wickets,Benoni,"Dec 8, 2023",T20I # 2386
Gambia,Rwanda,Rwanda,4 wickets,Benoni,"Dec 8, 2023",T20I # 2385
Zimbabwe,Ireland,Zimbabwe,1 wicket,Harare,"Dec 7, 2023",T20I # 2384
Kenya,Sierra Leone,Kenya,8 wickets,Benoni,"Dec 7, 2023",T20I # 2383
Cameroon,Mali,Cameroon,39 runs,Benoni,"Dec 7, 2023",T20I # 2382
Cameroon,Kenya,Kenya,10 wickets,Benoni,"Dec 6, 2023",T20I # 2381
India,Australia,India,6 runs,Bengaluru,"Dec 3, 2023",T20I # 2380
India,Australia,India,20 runs,Raipur,"Dec 1, 2023",T20I # 2379
Namibia,Nigeria,Namibia,8 wickets,Windhoek,"Nov 30, 2023",T20I # 2378
Kenya,Zimbabwe,Zimbabwe,110 runs,Windhoek,"Nov 30, 2023",T20I # 2376
Rwanda,Uganda,Uganda,9 wickets,Windhoek,"Nov 30, 2023",T20I # 2377
Kenya,Uganda,Uganda,33 runs,Windhoek,"Nov 29, 2023",T20I # 2375
Nigeria,Zimbabwe,Zimbabwe,6 wickets,Windhoek,"Nov 29, 2023",T20I # 2373
Rwanda,Tanzania,Tanzania,51 runs,Windhoek,"Nov 29, 2023",T20I # 2374
India,Australia,Australia,5 wickets,Guwahati,"Nov 28, 2023",T20I # 2372
Namibia,Tanzania,Namibia,58 runs,Windhoek,"Nov 28, 2023",T20I # 2371
Namibia,Kenya,Namibia,6 wickets,Windhoek,"Nov 27, 2023",T20I # 2368
Rwanda,Zimbabwe,Zimbabwe,144 runs,Windhoek,"Nov 27, 2023",T20I # 2369
Nigeria,Uganda,Uganda,9 wickets,Windhoek,"Nov 27, 2023",T20I # 2370
India,Australia,India,44 runs,Thiruvananthapuram,"Nov 26, 2023",T20I # 2367
Nigeria,Tanzania,Nigeria,3 wickets,Windhoek,"Nov 26, 2023",T20I # 2366
Uganda,Zimbabwe,Uganda,5 wickets,Windhoek,"Nov 26, 2023",T20I # 2365
Namibia,Rwanda,Namibia,68 runs,Windhoek,"Nov 25, 2023",T20I # 2364
Kenya,Tanzania,Kenya,50 runs,Windhoek,"Nov 25, 2023",T20I # 2363
Namibia,Uganda,Namibia,6 wickets,Windhoek,"Nov 24, 2023",T20I # 2362
Nigeria,Rwanda,no result,-,Windhoek,"Nov 24, 2023",T20I # 2361
India,Australia,India,2 wickets,Visakhapatnam,"Nov 23, 2023",T20I # 2360
Tanzania,Zimbabwe,Zimbabwe,9 wickets,Windhoek,"Nov 23, 2023",T20I # 2359
Kenya,Nigeria,Kenya,4 wickets,Windhoek,"Nov 23, 2023",T20I # 2358
Indonesia,Cambodia,Indonesia,-,Bali,"Nov 23, 2023",T20I # 2357
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Nov 22, 2023",T20I # 2356
Kenya,Rwanda,Kenya,17 runs,Windhoek,"Nov 22, 2023",T20I # 2354
Tanzania,Uganda,Uganda,8 wickets,Windhoek,"Nov 22, 2023",T20I # 2355
Indonesia,Cambodia,Cambodia,7 wickets,Bali,"Nov 22, 2023",T20I # 2353
Indonesia,Cambodia,Indonesia,104 runs,Bali,"Nov 21, 2023",T20I # 2352
Indonesia,Cambodia,Cambodia,8 wickets,Bali,"Nov 21, 2023",T20I # 2351
Indonesia,Cambodia,Indonesia,8 wickets,Bali,"Nov 20, 2023",T20I # 2350
Indonesia,Cambodia,Indonesia,7 wickets,Bali,"Nov 20, 2023",T20I # 2349
Nepal,Oman,tied,-,Kirtipur,"Nov 5, 2023",T20I # 2348
Bahrain,Oman,Oman,10 wickets,Kirtipur,"Nov 3, 2023",T20I # 2346
Nepal,U.A.E.,Nepal,8 wickets,Mulpani,"Nov 3, 2023",T20I # 2347
Malaysia,Singapore,Malaysia,60 runs,Kirtipur,"Nov 2, 2023",T20I # 2344
Bahrain,Kuwait,Kuwait,4 wickets,Mulpani,"Nov 2, 2023",T20I # 2345
Nepal,Oman,Oman,5 runs,Kirtipur,"Nov 2, 2023",T20I # 2342
Hong Kong,U.A.E.,U.A.E.,22 runs,Mulpani,"Nov 2, 2023",T20I # 2343
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Oct 31, 2023",T20I # 2340
Kuwait,U.A.E.,U.A.E.,5 wickets,Mulpani,"Oct 31, 2023",T20I # 2341
Oman,Singapore,Oman,22 runs,Kirtipur,"Oct 31, 2023",T20I # 2338
Bahrain,Hong Kong,Bahrain,20 runs,Mulpani,"Oct 31, 2023",T20I # 2339
Namibia,Zimbabwe,Namibia,8 runs,Windhoek,"Oct 30, 2023",T20I # 2337
Malaysia,Oman,Oman,32 runs,Kirtipur,"Oct 30, 2023",T20I # 2335
Hong Kong,Kuwait,Hong Kong,16 runs,Mulpani,"Oct 30, 2023",T20I # 2336
Bahrain,U.A.E.,U.A.E.,5 wickets,Mulpani,"Oct 30, 2023",T20I # 2333
Nepal,Singapore,Nepal,8 wickets,Kirtipur,"Oct 30, 2023",T20I # 2334
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Oct 29, 2023",T20I # 2332
Namibia,Zimbabwe,Zimbabwe,6 wickets,Windhoek,"Oct 27, 2023",T20I # 2331
Nepal,U.A.E.,U.A.E.,4 wickets,Kirtipur,"Oct 27, 2023",T20I # 2330
Hong Kong,U.A.E.,Hong Kong,69 runs,Mulpani,"Oct 25, 2023",T20I # 2328
Namibia,Zimbabwe,Zimbabwe,5 wickets,Windhoek,"Oct 25, 2023",T20I # 2329
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Oct 24, 2023",T20I # 2327
Nepal,U.A.E.,Nepal,5 wickets,Mulpani,"Oct 23, 2023",T20I # 2326
Hong Kong,U.A.E.,U.A.E.,6 wickets,Mulpani,"Oct 22, 2023",T20I # 2325
Nepal,Hong Kong,Nepal,79 runs,Mulpani,"Oct 21, 2023",T20I # 2324
Argentina,Chile,Argentina,10 wickets,Buenos Aires,"Oct 20, 2023",T20I # 2323
Argentina,Mexico,Argentina,4 wickets,Buenos Aires,"Oct 19, 2023",T20I # 2322
Nepal,Hong Kong,Nepal,6 wickets,Mulpani,"Oct 19, 2023",T20I # 2321
Chile,Mexico,Mexico,5 wickets,Buenos Aires,"Oct 18, 2023",T20I # 2320
Nepal,U.A.E.,Nepal,7 wickets,Mulpani,"Oct 18, 2023",T20I # 2319
Nigeria,Rwanda,Nigeria,17 runs,Lagos,"Oct 15, 2023",T20I # 2318
Gibraltar,Luxembourg,Luxembourg,11 runs,Gibraltar,"Oct 15, 2023",T20I # 2317
Ghana,Sierra Leone,Sierra Leone,6 wickets,Lagos,"Oct 15, 2023",T20I # 2316
Gibraltar,Luxembourg,Gibraltar,24 runs,Gibraltar,"Oct 15, 2023",T20I # 2315
Ghana,Sierra Leone,Ghana,5 runs,Lagos,"Oct 14, 2023",T20I # 2314
Nigeria,Rwanda,Nigeria,8 wickets,Lagos,"Oct 14, 2023",T20I # 2313
Nigeria,Sierra Leone,Nigeria,53 runs,Lagos,"Oct 12, 2023",T20I # 2312
Ghana,Rwanda,Rwanda,9 wickets,Lagos,"Oct 12, 2023",T20I # 2311
Rwanda,Sierra Leone,Rwanda,5 wickets,Lagos,"Oct 11, 2023",T20I # 2310
Nigeria,Ghana,Nigeria,5 wickets,Lagos,"Oct 11, 2023",T20I # 2309
Rwanda,Sierra Leone,Sierra Leone,2 runs,Lagos,"Oct 10, 2023",T20I # 2308
Nigeria,Ghana,Nigeria,82 runs,Lagos,"Oct 10, 2023",T20I # 2307
Ghana,Rwanda,Rwanda,47 runs,Lagos,"Oct 8, 2023",T20I # 2306
Nigeria,Sierra Leone,Nigeria,9 wickets,Lagos,"Oct 8, 2023",T20I # 2305
Bermuda,Canada,Canada,39 runs,Hamilton,"Oct 7, 2023",T20I # 2304
Ghana,Sierra Leone,Ghana,8 wickets,Lagos,"Oct 7, 2023",T20I # 2303
Nigeria,Rwanda,Nigeria,6 wickets,Lagos,"Oct 7, 2023",T20I # 2302
Afghanistan,India,no result,-,Hangzhou,"Oct 7, 2023",T20I # 2301
Bangladesh,Pakistan,Bangladesh,6 wickets,Hangzhou,"Oct 7, 2023",T20I # 2300
Rwanda,Sierra Leone,Rwanda,33 runs,Lagos,"Oct 6, 2023",T20I # 2299
Nigeria,Ghana,Nigeria,35 runs,Lagos,"Oct 6, 2023",T20I # 2298
Afghanistan,Pakistan,Afghanistan,4 wickets,Hangzhou,"Oct 6, 2023",T20I # 2297
Bangladesh,India,India,9 wickets,Hangzhou,"Oct 6, 2023",T20I # 2296
Ghana,Rwanda,tied,-,Lagos,"Oct 5, 2023",T20I # 2295
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Oct 5, 2023",T20I # 2294
Kuwait,Saudi Arabia,Kuwait,4 wickets,Doha,"Oct 5, 2023",T20I # 2293
Nigeria,Sierra Leone,Nigeria,63 runs,Lagos,"Oct 5, 2023",T20I # 2292
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,"Oct 5, 2023",T20I # 2291
Qatar,Maldives,Qatar,42 runs,Doha,"Oct 5, 2023",T20I # 2290
Bermuda,Panama,Bermuda,5 wickets,Hamilton,"Oct 4, 2023",T20I # 2289
Ghana,Sierra Leone,Ghana,3 wickets,Lagos,"Oct 4, 2023",T20I # 2288
Canada,Cayman Is,Canada,166 runs,Hamilton,"Oct 4, 2023",T20I # 2287
Qatar,Saudi Arabia,Saudi Arabia,7 wickets,Doha,"Oct 4, 2023",T20I # 2286
Nigeria,Rwanda,Nigeria,54 runs,Lagos,"Oct 4, 2023",T20I # 2285
Bangladesh,Malaysia,Bangladesh,2 runs,Hangzhou,"Oct 4, 2023",T20I # 2283
Kuwait,Maldives,Kuwait,8 wickets,Doha,"Oct 4, 2023",T20I # 2284
Afghanistan,Sri Lanka,Afghanistan,8 runs,Hangzhou,"Oct 4, 2023",T20I # 2282
Bermuda,Cayman Is,Bermuda,53 runs,Hamilton,"Oct 3, 2023",T20I # 2281
Canada,Panama,Canada,163 runs,Hamilton,"Oct 3, 2023",T20I # 2280
Hong Kong,Pakistan,Pakistan,68 runs,Hangzhou,"Oct 3, 2023",T20I # 2279
India,Nepal,India,23 runs,Hangzhou,"Oct 3, 2023",T20I # 2278
Maldives,Saudi Arabia,Saudi Arabia,9 wickets,Doha,"Oct 2, 2023",T20I # 2277
Qatar,Kuwait,Kuwait,5 wickets,Doha,"Oct 2, 2023",T20I # 2276
Malaysia,Thailand,Malaysia,194 runs,Hangzhou,"Oct 2, 2023",T20I # 2275
Canada,Cayman Is,Canada,108 runs, Sandys Parish,"Oct 1, 2023",T20I # 2274
Bermuda,Panama,Bermuda,7 wickets, Sandys Parish,"Oct 1, 2023",T20I # 2273
Kuwait,Saudi Arabia,Saudi Arabia,3 wickets,Doha,"Oct 1, 2023",T20I # 2272
Hong Kong,Japan,Hong Kong,5 wickets,Hangzhou,"Oct 1, 2023",T20I # 2270
Qatar,Maldives,Qatar,9 wickets,Doha,"Oct 1, 2023",T20I # 2271
Maldives,Nepal,Nepal,138 runs,Hangzhou,"Oct 1, 2023",T20I # 2269
Cayman Is,Panama,Cayman Is,7 wickets, Sandys Parish,"Sep 30, 2023",T20I # 2268
Gibraltar,Estonia,Estonia,8 wickets,Gibraltar,"Sep 30, 2023",T20I # 2267
Bermuda,Canada,Bermuda,86 runs, Sandys Parish,"Sep 30, 2023",T20I # 2266
Gibraltar,Estonia,Gibraltar,2 wickets,Gibraltar,"Sep 30, 2023",T20I # 2265
Qatar,Saudi Arabia,Saudi Arabia,4 wickets,Doha,"Sep 29, 2023",T20I # 2264
Singapore,Thailand,Singapore,99 runs,Hangzhou,"Sep 29, 2023",T20I # 2262
Kuwait,Maldives,Kuwait,7 wickets,Doha,"Sep 29, 2023",T20I # 2263
Cambodia,Hong Kong,Hong Kong,9 wickets,Hangzhou,"Sep 29, 2023",T20I # 2261
Maldives,Saudi Arabia,Saudi Arabia,62 runs,Doha,"Sep 28, 2023",T20I # 2260
Maldives,Mongolia,Maldives,9 wickets,Hangzhou,"Sep 28, 2023",T20I # 2258
Qatar,Kuwait,Kuwait,7 wickets,Doha,"Sep 28, 2023",T20I # 2259
Malaysia,Singapore,Malaysia,73 runs,Hangzhou,"Sep 28, 2023",T20I # 2257
Cambodia,Japan,Japan,3 wickets,Hangzhou,"Sep 27, 2023",T20I # 2256
Mongolia,Nepal,Nepal,273 runs,Hangzhou,"Sep 27, 2023",T20I # 2255
Hong Kong,P.N.G.,P.N.G.,1 wicket,Kuala Lumpur,"Sep 24, 2023",T20I # 2254
Oman,U.A.E.,Oman,5 wickets,Doha,"Sep 23, 2023",T20I # 2253
Malaysia,P.N.G.,P.N.G.,4 wickets,Kuala Lumpur,"Sep 23, 2023",T20I # 2252
Kuwait,Oman,Oman,68 runs,Doha,"Sep 22, 2023",T20I # 2251
Bahrain,U.A.E.,Bahrain,3 runs,Doha,"Sep 22, 2023",T20I # 2250
Malaysia,Hong Kong,Malaysia,23 runs,Kuala Lumpur,"Sep 22, 2023",T20I # 2249
Qatar,Saudi Arabia,Qatar,7 wickets,Doha,"Sep 21, 2023",T20I # 2248
Hong Kong,P.N.G.,P.N.G.,22 runs,Kuala Lumpur,"Sep 21, 2023",T20I # 2247
Oman,Saudi Arabia,Oman,47 runs,Doha,"Sep 20, 2023",T20I # 2246
Qatar,U.A.E.,U.A.E.,60 runs,Doha,"Sep 20, 2023",T20I # 2245
Malaysia,P.N.G.,P.N.G.,45 runs,Kuala Lumpur,"Sep 20, 2023",T20I # 2244
Bahrain,Oman,Bahrain,1 run,Doha,"Sep 19, 2023",T20I # 2243
Kuwait,U.A.E.,U.A.E.,31 runs,Doha,"Sep 19, 2023",T20I # 2242
Malaysia,Hong Kong,Malaysia,102 runs,Kuala Lumpur,"Sep 19, 2023",T20I # 2241
Bahrain,Saudi Arabia,Bahrain,6 wickets,Doha,"Sep 18, 2023",T20I # 2240
Qatar,Kuwait,Qatar,1 run,Doha,"Sep 18, 2023",T20I # 2239
Saudi Arabia,U.A.E.,U.A.E.,8 wickets,Doha,"Sep 17, 2023",T20I # 2238
Qatar,Oman,Oman,19 runs,Doha,"Sep 17, 2023",T20I # 2237
Bahrain,Kuwait,Kuwait,8 wickets,Doha,"Sep 16, 2023",T20I # 2236
Oman,U.A.E.,U.A.E.,22 runs,Doha,"Sep 16, 2023",T20I # 2235
Qatar,Bahrain,Qatar,19 runs,Doha,"Sep 15, 2023",T20I # 2234
Kuwait,Saudi Arabia,Kuwait,5 wickets,Doha,"Sep 15, 2023",T20I # 2233
England,New Zealand,New Zealand,6 wickets,Nottingham,"Sep 5, 2023",T20I # 2232
England,New Zealand,New Zealand,74 runs,Birmingham,"Sep 3, 2023",T20I # 2231
South Africa,Australia,Australia,5 wickets,Durban,"Sep 3, 2023",T20I # 2230
England,New Zealand,England,95 runs,Manchester,"Sep 1, 2023",T20I # 2229
South Africa,Australia,Australia,8 wickets,Durban,"Sep 1, 2023",T20I # 2228
Rwanda,Tanzania,Tanzania,49 runs,Rwanda,"Aug 31, 2023",T20I # 2227
Rwanda,Uganda,Uganda,8 wickets,Rwanda,"Aug 31, 2023",T20I # 2226
England,New Zealand,England,7 wickets,Chester-le-Street,"Aug 30, 2023",T20I # 2225
South Africa,Australia,Australia,111 runs,Durban,"Aug 30, 2023",T20I # 2224
Rwanda,Tanzania,Tanzania,59 runs,Rwanda,"Aug 30, 2023",T20I # 2223
Tanzania,Uganda,Uganda,19 runs,Rwanda,"Aug 30, 2023",T20I # 2222
